股票代號,股票名稱,日期,開盤價,最高價,最低價,收盤價,漲跌,漲幅(%),振幅(%),成交量,成交筆數,成交金額(千),均張,成交量變動(%),均張變動(%),股本(百萬),總市值(億),市值比重(%),本益比,股價淨值比,本益比(近四季),週轉率(%),成交值比重(%),漲跌停,成交量(股)
1101,台泥,20190524,42.35,42.65,42.25,42.35,0,0,0.94,10885,3654,462183,3,-20.36,15.38,53081,2248,0.696,10.1,1.16,10.1,0.21,0.448,0,10885298
1102,亞泥,20190524,44,44.3,43.7,43.75,-0.15,-0.34,1.37,8696,4192,381543,2.1,-17.88,-4.55,33614,1470.6,0.473,10,1.02,12.1,0.26,0.37,0,8696694
1103,嘉泥,20190524,16.15,16.5,16.15,16.5,0.35,2.17,2.17,2615,813,42882,3.2,134.53,3.23,7748,127.8,0.041,9.2,0.61,19,0.34,0.042,0,2615580
1104,環泥,20190524,19.3,19.4,19.25,19.4,0.1,0.52,0.78,28,27,549,1,-89.02,-28.57,6536,126.8,0.041,10.8,0.7,10.5,0,0.001,0,28388
1108,幸福,20190524,6.95,6.95,6.9,6.9,-0.05,-0.72,0.72,59,15,407,3.9,156.52,160,4047,27.9,0.009,,0.66,,0.01,0,0,59000
1109,信大,20190524,19,19.05,18.7,19,-0.05,-0.26,1.84,878,449,16594,2,-75.49,-16.67,3420,65,0.021,9.5,1.01,7.7,0.26,0.016,0,878685
1110,東泥,20190524,16.2,16.2,16.2,16.2,0,0,0,7,3,117,2.3,-30,-30.3,5720,92.7,0.03,162.6,1.08,115.7,0,0,0,7250
1201,味全,20190524,27.5,27.9,27.25,27.7,0.3,1.09,2.37,2045,896,56450,2.3,63.86,43.75,5061,140.2,0.045,11.5,1.9,7.1,0.4,0.055,0,2045472
1203,味王,20190524,26.2,26.35,26.15,26.3,-0.05,-0.19,0.76,23,21,605,1.1,-28.13,-15.38,2400,63.1,0.02,14.4,1.29,13.2,0.01,0.001,0,23052
1210,大成,20190524,38.25,38.75,38,38.05,0.05,0.13,1.97,2460,1649,94141,1.5,3.27,-16.67,7879,299.8,0.097,13.6,1.7,17.7,0.31,0.091,0,2460090
1213,大飲,,,,,,,,,,,,,,,,,,,,,,,,
1215,卜蜂,20190524,63,64.5,62.4,63.1,0.3,0.48,3.34,2566,1697,162558,1.5,-19.79,7.14,2680,169.1,0.054,16.7,2.32,18.2,0.96,0.158,0,2566539
1216,統一,20190524,80.5,81,79.2,80,0,0,2.25,6869,3707,549164,1.9,-33.15,0,56820,4545.6,1.463,24.4,4.01,24.7,0.12,0.533,0,6869544
1217,愛之味,20190524,7,7.01,6.96,6.97,-0.04,-0.57,0.71,176,98,1236,1.8,-68.29,-40,4945,34.5,0.011,70.3,0.62,149.7,0.04,0.001,0,176826
1218,泰山,20190524,20.45,20.9,20.35,20.9,0.4,1.95,2.68,2778,1219,57568,2.3,22.97,9.52,5000,104.5,0.034,18.1,1.61,21.4,0.55,0.056,0,2778580
1219,福壽,20190524,18.05,18.15,18.05,18.15,0.1,0.55,0.55,14,12,255,1.2,40,-14.29,3220,58.4,0.019,182.6,1.53,,0,0,0,14104
1220,台榮,20190524,11.1,11.25,11,11.2,0.1,0.9,2.25,33,14,370,2.4,37.5,20,1771,19.8,0.006,22.3,0.88,28.4,0.02,0,0,33100
1225,福懋油,20190524,72,72,69.5,72,0,0,3.47,105,25,7489,4.2,,,2187,157.5,0.051,65.3,4.83,62.8,0.05,0.007,0,105015
1227,佳格,20190524,56.3,56.7,56.1,56.4,0.5,0.89,1.07,490,431,27678,1.1,-47.93,-21.43,9151,516.1,0.166,17.1,3.08,17.2,0.05,0.027,0,490723
1229,聯華,20190524,35.35,35.75,35.35,35.75,0.45,1.27,1.13,1499,959,53474,1.6,-6.08,6.67,10521,376.1,0.121,13.7,1.39,12.6,0.14,0.052,0,1499724
1231,聯華食,20190524,44,44.3,44,44.25,0.25,0.57,0.68,164,132,7288,1.2,25.19,20,1663,73.6,0.024,12.6,2.08,14.2,0.1,0.007,0,164770
1232,大統益,20190524,114,116,114,116,2,1.75,1.75,131,115,15194,1.1,197.73,37.5,1600,185.6,0.06,16.6,4.44,18.4,0.08,0.015,0,131598
